               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.049082,            0.026179,            0.013443,             0.44922,              0.3926,             0.34714,             0.14699,            0.062031,            0.016569,            0.023572,           0.0088615,           0.0088615,           0.0088615
                  48,            0.049851,            0.027153,            0.013243,             0.36857,             0.26183,             0.18111,            0.073032,            0.080589,            0.018301,            0.048979,           0.0088368,           0.0088368,           0.0088368
                  49,            0.049601,             0.02712,            0.012905,             0.31523,             0.37249,             0.29297,             0.11353,            0.063449,             0.01803,            0.027536,            0.008812,            0.008812,            0.008812
                  50,            0.050017,            0.027076,            0.013627,             0.38856,              0.3223,             0.29005,             0.10878,            0.071084,            0.016241,            0.032764,           0.0087872,           0.0087872,           0.0087872
                  51,            0.049169,            0.026947,            0.012983,             0.39788,             0.37058,             0.31328,              0.1344,            0.065829,            0.016237,            0.027265,           0.0087625,           0.0087625,           0.0087625
                  52,            0.048095,            0.025413,             0.01306,             0.34078,             0.27723,             0.24495,             0.11159,            0.072217,            0.015964,            0.026998,           0.0087378,           0.0087378,           0.0087378
                  53,            0.046875,            0.024366,            0.011684,             0.45462,             0.38367,             0.34395,             0.15516,            0.065457,            0.015324,            0.026834,            0.008713,            0.008713,            0.008713
                  54,            0.046844,            0.025773,            0.012442,             0.42499,             0.40248,             0.36416,              0.1573,            0.064243,            0.014724,            0.025926,           0.0086882,           0.0086882,           0.0086882
                  55,            0.047283,            0.026387,            0.011147,              0.4502,             0.42017,             0.34582,             0.14987,            0.062635,            0.015371,            0.023086,           0.0086635,           0.0086635,           0.0086635
                  56,            0.046783,            0.026549,            0.010269,             0.46634,             0.41389,             0.37163,             0.17512,            0.064912,            0.015719,            0.026768,           0.0086388,           0.0086388,           0.0086388
                  57,            0.044652,            0.025485,            0.011116,             0.39513,             0.34188,             0.33557,             0.14754,            0.062349,            0.016267,            0.032663,            0.008614,            0.008614,            0.008614
                  58,            0.045576,            0.026087,            0.013066,             0.43857,             0.37607,             0.33634,             0.13644,            0.065741,            0.015505,            0.028944,           0.0085893,           0.0085893,           0.0085893
                  59,             0.04631,            0.024935,            0.011466,             0.37767,             0.32229,             0.29392,             0.12789,            0.063259,             0.01593,            0.027433,           0.0085645,           0.0085645,           0.0085645
                  60,            0.046178,            0.024744,            0.012295,             0.50874,              0.3154,             0.30475,             0.11622,            0.066707,            0.015567,            0.026879,           0.0085398,           0.0085398,           0.0085398
                  61,            0.045296,            0.024523,            0.010779,             0.55554,             0.38226,              0.3675,             0.15394,             0.06132,            0.016312,             0.02491,            0.008515,            0.008515,            0.008515
                  62,            0.046031,            0.026746,            0.010901,              0.4912,             0.38016,             0.38604,             0.16755,            0.062648,            0.015278,             0.02804,           0.0084903,           0.0084903,           0.0084903
                  63,            0.045504,            0.025715,            0.010031,             0.47725,             0.40239,             0.40885,             0.20242,            0.068002,            0.014795,             0.02719,           0.0084655,           0.0084655,           0.0084655
                  64,            0.044925,            0.024927,           0.0098501,             0.58245,             0.48511,             0.44801,             0.20381,            0.059682,            0.014915,            0.023195,           0.0084408,           0.0084408,           0.0084408
                  65,            0.042595,            0.025214,           0.0090183,             0.30152,               0.327,             0.31124,             0.12756,            0.061965,            0.015629,            0.027541,            0.008416,            0.008416,            0.008416
                  66,            0.044543,            0.025626,             0.01182,             0.60279,             0.45448,             0.43613,             0.18105,            0.058308,            0.014658,            0.028169,           0.0083913,           0.0083913,           0.0083913
                  67,            0.042919,            0.023395,           0.0098096,             0.40687,             0.39933,              0.3536,             0.14224,            0.058314,            0.015177,            0.026365,           0.0083665,           0.0083665,           0.0083665
                  68,            0.041557,            0.023945,            0.010605,             0.43747,             0.42162,             0.37447,             0.16821,            0.062402,            0.015797,            0.028801,           0.0083418,           0.0083418,           0.0083418
                  69,            0.042131,            0.023991,           0.0088442,             0.56823,             0.45908,             0.46723,             0.21946,            0.060422,            0.015287,            0.023536,            0.008317,            0.008317,            0.008317
                  70,            0.042378,            0.025131,           0.0072591,             0.50944,             0.45371,             0.39719,             0.17835,            0.061324,            0.014471,             0.02738,           0.0082922,           0.0082922,           0.0082922
                  71,            0.043881,            0.024385,           0.0097463,             0.49829,             0.46768,             0.39891,             0.20535,            0.059987,            0.013505,            0.025247,           0.0082675,           0.0082675,           0.0082675
                  72,            0.042419,            0.023749,           0.0086887,              0.5309,             0.48791,             0.43091,             0.21473,             0.06173,            0.014407,            0.024876,           0.0082428,           0.0082428,           0.0082428
                  73,            0.041302,            0.023937,           0.0086259,             0.52757,             0.41778,             0.41759,              0.2106,            0.060132,            0.014762,            0.024933,            0.008218,            0.008218,            0.008218
                  74,            0.042103,            0.023637,              0.0105,              0.4966,             0.37477,             0.34929,             0.17596,            0.060473,            0.015312,            0.030791,           0.0081932,           0.0081932,           0.0081932
                  75,            0.042107,            0.022809,           0.0092851,             0.37565,             0.39721,             0.30765,             0.15992,            0.068847,            0.014707,            0.027425,           0.0081685,           0.0081685,           0.0081685
                  76,            0.040163,             0.02407,           0.0087187,             0.57804,             0.43349,             0.42001,             0.21133,            0.061559,            0.014975,            0.026829,           0.0081437,           0.0081437,           0.0081437
